,pl_name,pl_bmasse,pl_rade,pl_insol,pl_eqt,pl_orbeccen,pl_orbsmax,sy_pnum,sy_snum,st_spectype,st_teff
0,11 Com b,3,0,0,0,2,3,3,3,2,2
1,11 UMi b,3,0,0,0,2,3,3,3,1,2
2,14 And b,3,0,0,0,2,3,3,3,2,2
3,14 Her b,8,0,0,0,8,8,8,8,2,4
4,16 Cyg B b,6,0,0,0,6,6,6,6,2,5
5,17 Sco b,1,0,0,0,1,1,1,1,1,1
6,18 Del b,3,0,0,0,2,3,3,3,2,2
7,1RXS J160929.1-210524 b,4,1,0,4,0,4,4,4,2,4
8,24 Boo b,2,0,0,0,2,2,2,2,2,2
9,24 Sex b,1,0,0,0,1,1,1,1,0,1
10,24 Sex c,1,0,0,0,1,1,1,1,0,1
11,2M0437 b,1,0,0,1,0,1,1,1,1,1
12,2MASS J01033563-5515561 AB b,1,0,0,0,0,1,1,1,1,0 
13,2MASS J01225093-2439505 b,1,1,0,1,0,1,2,2,1,2
14,2MASS J02192210-3925225 b,1,1,0,0,0,1,1,1,1,1
15,2MASS J0249-0557 c,1,0,0,0,0,1,1,1,1,0
16,2MASS J03590986+2009361 b,1,0,0,1,0,1,1,1,0,0
17,2MASS J04414489+2301513 b,1,0,0,0,0,1,1,1,1,0
18,2MASS J11011926-7732383 b,1,0,0,1,0,1,1,1,0,0
19,2MASS J11550485-7919108 b,1,0,0,1,0,1,1,1,0,0
20,2MASS J12073346-3932539 b,2,0,0,2,0,2,2,2,1,1
21,2MASS J19383260+4603591 b,2,0,0,0,1,1,2,2,0,1
22,2MASS J21252752-8138278 b,1,0,0,1,0,1,1,1,0,0
23,2MASS J22362452+4751425 b,1,0,0,0,0,1,1,1,1,1
24,30 Ari B b,3,0,0,0,3,3,3,3,1,2
25,4 UMa b,2,0,0,0,2,2,2,2,2,2
26,42 Dra b,1,0,0,0,1,1,1,1,1,1
27,47 UMa b,5,0,0,0,5,5,5,5,2,3
28,47 UMa c,3,0,0,0,3,3,3,3,1,2
29,47 UMa d,2,0,0,0,2,2,2,2,0,2
30,51 Eri b,1,0,0,1,2,3,3,3,1,2
31,51 Peg b,5,0,0,0,5,4,5,5,0,3
32,55 Cnc b,12,0,0,1,12,12,12,12,3,7
33,55 Cnc c,8,0,0,0,8,8,8,8,0,6
34,55 Cnc d,10,0,0,0,10,10,10,10,1,6
35,55 Cnc e,13,10,1,2,8,11,19,19,1,13
36,55 Cnc f,7,0,0,0,7,7,7,7,0,6
37,6 Lyn b,4,0,0,0,4,4,4,4,2,3
38,61 Vir b,2,0,0,0,2,2,2,2,1,2
39,61 Vir c,2,0,0,0,2,2,2,2,1,2
40,61 Vir d,1,0,0,0,1,1,1,1,1,1
41,7 CMa b,4,0,0,0,3,4,4,4,1,3
42,7 CMa c,2,0,0,0,1,2,2,2,0,1
43,70 Vir b,6,0,0,0,6,6,6,6,0,5
44,75 Cet b,2,0,0,0,2,2,2,2,2,2
45,75 Cet c,1,0,0,0,1,1,1,1,1,1
46,8 UMi b,2,0,0,0,2,2,2,2,1,2
47,81 Cet b,3,0,0,0,2,3,3,3,2,2
48,91 Aqr b,1,0,0,0,1,1,1,1,1,1
49,AB Aur b,1,0,0,0,1,1,1,1,0,1
50,AB Pic b,1,0,0,0,0,1,1,1,1,0
51,AF Lep b,3,0,0,1,3,3,3,3,3,3
52,AT2021ueyL b,1,0,0,0,0,1,1,1,1,1
53,AU Mic b,6,5,2,3,7,5,10,10,1,7
54,AU Mic c,4,3,1,2,4,4,6,6,0,4
55,AU Mic d,1,0,0,0,1,0,1,1,0,1
56,BD+03 2562 b,1,0,0,0,1,1,1,1,0,1
57,BD+05 4868 A b,1,0,0,1,0,1,1,1,1,1
58,BD+14 4559 b,2,0,0,0,2,2,2,2,1,2
59,BD+15 2375 b,1,0,0,0,1,1,1,1,0,1
60,BD+15 2940 b,1,0,0,0,1,1,1,1,1,1
61,BD+20 2457 b,2,0,0,0,2,2,2,2,1,2
62,BD+20 2457 c,1,0,0,0,1,1,1,1,1,1
63,BD+20 274 b,1,0,0,0,1,1,1,1,1,1
64,BD+20 594 b,2,3,0,1,2,1,3,3,1,3
65,BD+45 564 b,1,0,0,0,1,1,1,1,1,1
66,BD+48 738 b,1,0,0,0,1,1,1,1,1,1
67,BD+48 740 b,1,0,0,0,1,1,1,1,0,1
68,BD+49 828 b,1,0,0,0,1,1,1,1,1,1
69,BD+55 362 b,1,0,0,0,1,1,1,1,1,1
70,BD+60 1417 b,1,1,0,1,0,1,1,1,1,1
71,BD+63 1405 b,2,0,0,0,2,2,2,2,2,2
72,BD-06 1339 b,1,0,0,0,1,1,1,1,1,1
73,BD-06 1339 c,1,0,0,0,1,1,1,1,1,1
74,BD-08 2823 b,2,0,0,0,2,2,2,2,1,2
75,BD-08 2823 c,1,0,0,0,1,1,1,1,1,1
76,BD-10 3166 b,4,0,0,0,4,4,4,4,1,4
77,BD-11 4672 b,2,0,0,0,2,2,2,2,1,2
78,BD-11 4672 c,1,0,0,0,1,1,1,1,0,1
79,BD-13 2130 b,2,0,0,0,2,2,2,2,0,1
80,BD-14 3065 b,1,2,1,2,1,1,2,2,0,2
81,BD-17 63 b,4,0,0,0,4,2,4,4,1,2
82,BD-210397 b,1,0,1,0,1,1,1,1,1,1
83,BD-210397 c,2,0,1,0,2,2,2,2,2,1
84,Barnard b,2,0,1,2,2,2,2,2,2,2
85,Barnard c,1,0,0,1,1,1,1,1,1,1
86,Barnard d,1,0,0,1,1,1,1,1,1,1
87,Barnard e,1,0,0,1,1,1,1,1,1,1
88,CD Cet b,1,0,1,1,0,1,1,1,1,1
89,CFBDSIR J145829+101343 b,1,0,0,1,0,1,1,1,0,1
90,CFHTWIR-Oph 98 b,1,1,0,1,0,1,1,1,1,1
91,CHXR 73 b,1,0,0,0,0,1,1,1,1,0
92,CI Tau c,1,0,0,0,1,1,1,1,0,0
93,COCONUTS-2 b,2,2,0,1,0,1,2,2,2,2
94,CT Cha b,1,1,0,1,0,1,1,1,0,0
95,CoRoT-1 b,5,6,1,4,4,4,7,7,1,6
96,CoRoT-10 b,3,4,1,3,2,3,4,4,1,4
97,CoRoT-11 b,4,5,1,4,3,4,7,7,2,6
98,CoRoT-12 b,4,5,1,4,2,4,6,6,0,5
99,CoRoT-13 b,3,4,1,3,2,3,5,5,2,5
100,CoRoT-14 b,3,3,0,2,2,3,3,3,1,3
101,CoRoT-16 b,2,2,0,0,2,2,2,2,1,2
102,CoRoT-17 b,3,3,0,2,2,3,3,3,1,3
103,CoRoT-18 b,4,5,1,4,2,4,6,6,2,5
104,CoRoT-19 b,3,4,1,3,2,3,6,6,3,6
105,CoRoT-2 b,6,8,1,4,4,5,12,12,0,10
106,CoRoT-20 b,5,5,1,4,3,5,6,6,1,4
107,CoRoT-20 c,1,0,0,0,1,1,1,1,0,0
108,CoRoT-21 b,2,2,0,0,2,2,2,2,1,2
109,CoRoT-22 b,1,1,0,1,1,1,1,1,1,1
110,CoRoT-23 b,3,3,0,2,2,3,3,3,1,3
111,CoRoT-24 b,1,1,0,1,1,1,1,1,1,1
112,CoRoT-24 c,1,1,0,1,1,1,1,1,1,1
113,CoRoT-25 b,2,2,0,1,2,2,2,2,1,2
114,CoRoT-26 b,2,2,0,1,2,2,2,2,1,2
115,CoRoT-27 b,2,2,0,1,2,2,2,2,1,2
116,CoRoT-28 b,2,2,0,0,2,2,2,2,1,2
117,CoRoT-29 b,2,2,0,0,2,2,3,3,1,3
118,CoRoT-3 b,4,4,0,1,3,3,5,5,1,4
119,CoRoT-30 b,1,1,0,0,1,1,1,1,1,1
120,CoRoT-31 b,1,1,0,0,1,1,1,1,1,1
121,CoRoT-35 b,1,1,0,1,1,1,1,1,1,1
122,CoRoT-36 b,1,1,0,1,1,1,1,1,1,1
123,CoRoT-4 b,3,4,1,3,2,3,4,4,0,4
124,CoRoT-5 b,4,5,1,4,2,4,6,6,1,4
125,CoRoT-6 b,3,3,0,2,2,3,4,4,1,3
126,CoRoT-7 b,8,6,0,2,4,5,8,8,2,8
127,CoRoT-7 c,3,0,0,0,2,2,3,3,1,3
128,CoRoT-7 d,1,0,0,0,0,0,1,1,1,1
129,CoRoT-8 b,4,4,0,2,2,4,4,4,1,3
130,CoRoT-9 b,4,4,0,2,3,4,5,5,1,4
