,pl_name,pl_bmasse,pl_rade,pl_insol,pl_eqt,pl_orbeccen,pl_orbsmax,sy_pnum,sy_snum,st_spectype,st_teff
0,11 Com b,6165.6,,,,0.231,1.29,1,2,G8 III,4742.0
1,11 Com b,5434.7,,,,,1.21,1,2,,
2,11 Com b,4914.89848585,,,,0.238,1.178,1,2,G8 III,4874.0
3,11 UMi b,4684.8142,,,,0.08,1.53,1,1,,4213.0
4,11 UMi b,3337.07,,,,0.08,1.54,1,1,K4 III,4340.0
5,11 UMi b,3432.4,,,,,1.51,1,1,,
6,14 And b,1525.5,,,,0.0,0.83,1,1,K0 III,4813.0
7,14 And b,1131.15130051,,,,0.0,0.775,1,1,K0 III,4888.0
8,14 And b,1017.0,,,,,0.68,1,1,,
9,14 Her b,1481.0878,,,,0.37,2.93,2,1,,5338.0
10,14 Her b,1554.12,,,,0.37,2.82,2,1,K0 V,
11,14 Her b,1506.45,,,,0.338,2.8,2,1,,5255.0
12,14 Her b,1474.67,,,,0.369,2.77,2,1,K0 V,
13,14 Her b,1440.663,,,,0.357,2.73,2,1,,
14,14 Her b,2559.47216157,,,,0.373,2.774,2,1,,
15,14 Her b,1581.138,,,,0.359,2.864,2,1,,5280.0
16,14 Her b,1541.46777395,,,,0.3674,2.83,2,1,,5314.94
17,16 Cyg B b,565.7374,,,,0.68,1.66,1,3,,5750.0
18,16 Cyg B b,556.83536906,,,,0.6832,1.676,1,3,,5711.97
19,16 Cyg B b,533.9544,,,,0.681,1.681,1,3,,5674.0
20,16 Cyg B b,476.7,,,,0.634,1.6,1,3,G2.5 V,5760.0
21,16 Cyg B b,533.93,,,,0.689,1.68,1,3,,5747.0
22,16 Cyg B b,533.93,,,,0.689,1.68,1,3,G3 V,
23,17 Sco b,1373.01871824,,,,0.06,1.45,1,1,K3 III,4157.0
24,18 Del b,2926.24614325,,,,0.024,2.476,1,2,G6 III,4980.0
25,18 Del b,3127.3,,,,,2.54,1,2,,
26,18 Del b,3273.5,,,,0.08,2.6,1,2,G6 III,4979.0
27,1RXS J160929.1-210524 b,4000.0,,,1700.0,,330.0,1,1,,4060.0
28,1RXS J160929.1-210524 b,3000.0,,,1700.0,,330.0,1,1,K7 V,4060.0
29,1RXS J160929.1-210524 b,3000.0,,,1800.0,,330.0,1,1,,3993.0
30,1RXS J160929.1-210524 b,2543.0,18.647,,1800.0,,330.0,1,1,K7 V,4060.0
31,24 Boo b,289.2253,,,,0.042,0.19,1,1,G3 IV,4893.0
32,24 Boo b,280.64248338,,,,0.032,0.194,1,1,G3 IV,4816.0
33,24 Sex b,632.46,,,,0.09,1.333,2,1,,5098.0
34,24 Sex c,273.32,,,,0.29,2.08,2,1,,5098.0
35,2M0437 b,1271.313628,,,1450.0,,118.0,1,1,M V,3100.0
36,2MASS J01033563-5515561 AB b,4131.79,,,,,84.0,1,2,M5.5/M6,
37,2MASS J01225093-2439505 b,,11.209,,1600.0,,,1,1,,3309.0
38,2MASS J01225093-2439505 b,7786.5,,,,,52.0,1,1,M3.5 V,3530.0
39,2MASS J02192210-3925225 b,4417.837,16.14096,,,,156.0,1,1,M6,3064.0
40,2MASS J0249-0557 c,3686.8095212,,,,,1950.0,1,2,M6 V,
41,2MASS J03590986+2009361 b,5720.911326,,,2369.0,,572.0,1,1,,
42,2MASS J04414489+2301513 b,2383.6,,,,,15.0,1,1,M8.5,
43,2MASS J11011926-7732383 b,8899.195396,,,2677.0,,266.0,1,1,,
44,2MASS J11550485-7919108 b,6356.56814,,,2506.0,,587.0,1,1,,
45,2MASS J12073346-3932539 b,1589.15,,,1250.0,,55.0,1,1,M8,
46,2MASS J12073346-3932539 b,1271.0,,,1150.0,,46.0,1,1,,2825.0
47,2MASS J19383260+4603591 b,591.16083702,,,,0.33,,3,2,,29564.0
48,2MASS J19383260+4603591 b,603.877,,,,,0.92,3,2,,
49,2MASS J21252752-8138278 b,3813.940884,,,1616.0,,7493.0,1,1,,
50,2MASS J22362452+4751425 b,3972.875,,,,,230.0,1,1,K7 V,4045.0
51,30 Ari B b,3140.03,,,,0.289,0.995,1,4,F6 V,6300.0
52,30 Ari B b,2097.678,,,,0.18,1.01,1,4,,
53,30 Ari B b,4392.4106,,,,0.29,0.99,1,4,,6331.0
54,4 UMa b,2256.5,,,,0.432,0.87,1,1,K1 III,4415.0
55,4 UMa b,2511.48007211,,,,0.453,0.877,1,1,K1 III,4415.0
56,42 Dra b,1233.13,,,,0.38,1.19,1,2,K1.5 III,4200.0
57,47 UMa b,804.08,,,,0.032,2.1,3,1,,5872.0
58,47 UMa b,877.17,,,,0.097,2.11,3,1,,
59,47 UMa b,826.32,,,,0.049,2.11,3,1,G1 V,
60,47 UMa b,774.86565627,,,,0.016,2.059,3,1,,5829.16
61,47 UMa b,778.6835,,,,0.012,2.1,3,1,G0 V,5882.0
62,47 UMa c,171.621,,,,0.098,3.6,3,1,,5872.0
63,47 UMa c,157.96071828,,,,0.179,3.404,3,1,,5829.16
64,47 UMa c,425.87,,,,0.005,7.73,3,1,G1 V,
65,47 UMa d,479.92089457,,,,0.38,13.8,3,1,,5829.16
66,47 UMa d,521.22,,,,0.16,11.6,3,1,,5872.0
67,51 Eri b,,,,,0.21,14.0,1,3,,7295.0
68,51 Eri b,,,,,0.45,12.0,1,3,,7295.0
69,51 Eri b,635.66,,,700.0,,13.2,1,3,F0 IV,
70,51 Peg b,149.3801,,,,0.0,,1,1,,5773.0
71,51 Peg b,148.738,,,,0.0,0.052,1,1,,
72,51 Peg b,147.47238085,,,,0.0042,0.05235,1,1,,5760.76
73,51 Peg b,150.009,,,,0.013,0.0527,1,1,,5758.0
74,51 Peg b,146.2018,,,,0.0,0.052,1,1,,
75,55 Cnc b,254.25,,,,0.004,0.1134,5,2,,5250.0
76,55 Cnc b,266.9772,,,,0.051,0.11,5,2,G8 V,5200.0
77,55 Cnc b,249.17872,,,,0.0197,0.115,5,2,,
78,55 Cnc b,255.4,,,,0.0,0.1134,5,2,,5172.0
79,55 Cnc b,266.9772,,,,0.02,0.115,5,2,G8 V,
80,55 Cnc b,266.966,,,,0.0023,0.11339,5,2,,5250.0
81,55 Cnc b,254.25,,,700.0,0.0,0.113,5,2,K0 IV-V,
82,55 Cnc b,260.61,,,,0.0159,0.1138,5,2,,5250.0
83,55 Cnc b,267.29369029,,,,0.0048,0.1162,5,2,,5317.89
84,55 Cnc b,263.9785,,,,0.0034,0.11522725,5,2,,
85,55 Cnc b,261.881,,,,0.014,0.115,5,2,,5250.0
86,55 Cnc b,289.21,,,,0.03,0.115,5,2,,
87,55 Cnc c,56.6985,,,,0.072,0.23735,5,2,,5250.0
88,55 Cnc c,54.3486576,,,,0.048,0.2432,5,2,,5317.89
89,55 Cnc c,52.44,,,,0.07,0.237,5,2,,5250.0
90,55 Cnc c,53.711,,,,0.086,0.24,5,2,,5250.0
91,55 Cnc c,51.2,,,,0.03,0.2373,5,2,,5172.0
92,55 Cnc c,52.44,,,,0.053,0.238,5,2,,5250.0
93,55 Cnc c,68.96911,,,,0.44,0.24,5,2,,
94,55 Cnc c,54.4738,,,,0.02,0.241376,5,2,,
95,55 Cnc d,1121.89,,,,0.02,5.47,5,2,,5250.0
96,55 Cnc d,918.49,,,,0.24,5.28,5,2,,
97,55 Cnc d,1243.35096,,,,0.327,5.257,5,2,,
98,55 Cnc d,1226.77,,,,0.0269,5.446,5,2,,5250.0
99,55 Cnc d,1218.827,,,,0.025,5.77,5,2,,5250.0
100,55 Cnc d,908.98924402,,,,0.139,5.54,5,2,,5317.89
101,55 Cnc d,991.6,,,,0.13,5.957,5,2,,5172.0
102,55 Cnc d,1232.493,,,,0.019,5.503,5,2,,
103,55 Cnc d,1220.42,,,,0.063,5.84,5,2,,5250.0
104,55 Cnc d,1287.2115,,,,0.16,5.9,5,2,G8 V,
105,55 Cnc e,8.08,1.91,,,,0.01544,5,2,,5250.0
106,55 Cnc e,7.4687,,,,0.264,0.0377,5,2,,5250.0
107,55 Cnc e,14.30235,,,,0.174,0.038,5,2,,
108,55 Cnc e,7.81,2.08,,1958.0,0.061,0.01544,5,2,,5234.0
109,55 Cnc e,8.08,1.92,,,,0.01544,5,2,,5250.0
110,55 Cnc e,8.13928,,,,0.04,0.015690907,5,2,,
111,55 Cnc e,8.09479,,,,0.028,0.015439,5,2,,5250.0
112,55 Cnc e,9.37593801,,,,0.036,0.01583,5,2,,5317.89
113,55 Cnc e,,,,,,,5,2,,5234.0
114,55 Cnc e,,1.856,,,,,5,2,,5272.0
115,55 Cnc e,,,,,,,5,2,,5250.0
116,55 Cnc e,,,,,,,5,2,,
117,55 Cnc e,8.63,2.0,,,,0.01583,5,2,G8 V,
118,55 Cnc e,8.59,1.947,,,,,5,2,,
119,55 Cnc e,7.99,1.875,,,0.05,0.01544,5,2,,5172.0
120,55 Cnc e,8.37,2.173,,,0.0,0.01583,5,2,,5250.0
121,55 Cnc e,7.74,1.897,,,,,5,2,,5172.0
